iter	RMSE
0	0.9752413818
1	0.9514462278
2	0.9282602662
3	0.9070278909
4	0.8884978289
5	0.869934056
6	0.8532692541
7	0.8368508375
8	0.8220247974
9	0.8081990846
10	0.7946905383
11	0.7824371292
12	0.7709125457
13	0.7600834068
14	0.7495963004
15	0.739903039
16	0.73057442
17	0.7222168277
18	0.7144790841
19	0.7064254599
20	0.6995276957
21	0.6932955886
22	0.6872565884
23	0.6810072374
24	0.6752048184
25	0.6699967086
26	0.6643689088
27	0.6592122966
28	0.6548912138
29	0.6501621948
30	0.6458125471
31	0.641600233
32	0.6373487157
33	0.6331608599
34	0.6295946388
35	0.6261861694
36	0.6226828824
37	0.6194986129
38	0.6167910531
39	0.6135184903
40	0.6103250857
41	0.6074480186
42	0.6049618776
43	0.6020948899
44	0.5997857081
45	0.5973130864
46	0.5947812041
47	0.5922781626
48	0.5900066343
49	0.5879589515
50	0.5858256624
51	0.5837853318
52	0.5816038829
53	0.5796587622
54	0.5777757807
55	0.5754871716
56	0.5738926672
57	0.5718551821
58	0.5701108379
59	0.568186319
60	0.5664825522
61	0.5648843841
62	0.5631864667
63	0.5616695944
64	0.560033762
65	0.5586197794
66	0.5568372264
67	0.5555006014
68	0.5543262129
69	0.552961846
70	0.5514017441
71	0.5502769611
72	0.5491659951
73	0.5478079409
74	0.5466904947
75	0.5454682962
76	0.5443481008
77	0.542934863
78	0.541619014
79	0.5404965511
80	0.5392006471
81	0.5382590242
82	0.5374456142
83	0.5362679151
84	0.5354003236
85	0.5341436311
86	0.5333368937
87	0.5322115932
88	0.5313650868
89	0.5304563677
90	0.5296701978
91	0.5288354549
92	0.5280268656
93	0.5268547084
94	0.5259739185
95	0.525086306
96	0.5242355516
97	0.5235988051
98	0.5228613003
99	0.5217027745
100	0.5209081232
101	0.5196126905
102	0.5187147964
103	0.5177359947
104	0.5170545634
105	0.5162138669
106	0.5156245109
107	0.515115025
108	0.5142523503
109	0.5133887374
110	0.5127314801
111	0.5120085076
112	0.5108560099
113	0.5096976704
114	0.5089621106
115	0.5082241657
116	0.5076198282
117	0.5068409299
118	0.5062821194
119	0.5057228629
120	0.5051637381
121	0.5045692048
122	0.50389178
123	0.5032201473
124	0.5025288999
125	0.5020454706
126	0.5014396502
127	0.5009171019
128	0.500257075
129	0.4997561341
130	0.4990175059
131	0.4986366704
132	0.4982895026
133	0.4976503934
134	0.4970553535
135	0.4966669238
136	0.4959800785
137	0.4955427574
138	0.4951421371
139	0.4941770782
140	0.4937278015
141	0.4932620096
142	0.492640989
143	0.4922138713
144	0.4918781727
145	0.49153279
146	0.4911877881
147	0.4909136596
148	0.4901902182
149	0.4895165608
150	0.4888754053
151	0.4882045858
152	0.4877730951
153	0.4870073858
154	0.4865902945
155	0.4859270679
156	0.4855762688
157	0.4849834939
158	0.4844684192
159	0.4840920342
160	0.483988315
161	0.4835255104
162	0.4830147424
163	0.4825486393
164	0.4821205888
165	0.4816351959
166	0.4808557757
167	0.480637162
168	0.4800399635
169	0.4796895236
170	0.4790463041
171	0.4784923539
172	0.478021416
173	0.4771130167
174	0.4768278864
175	0.4761664459
176	0.4758137696
177	0.4754666008
178	0.4749240898
179	0.4747457261
180	0.4743242394
181	0.4740419103
182	0.473507189
183	0.4734325
184	0.4726964513
185	0.4720691592
186	0.4719488229
187	0.4718552434
188	0.4714992202
189	0.4710032196
190	0.4709476839
191	0.4704069419
192	0.4703453837
193	0.4702854012
194	0.4697166798
195	0.4696642094
196	0.4696148964
197	0.4693631547
198	0.4691858818
199	0.4688834189
200	0.4684689306
201	0.4684206737
202	0.4683758305
203	0.4678751054
204	0.4675608671
205	0.4671920328
206	0.4671446885
207	0.4668525483
208	0.4665682044
209	0.4662643583
210	0.4661182563
211	0.4659959912
212	0.4659518711
213	0.4656981072
214	0.4654372338
215	0.4653308968
216	0.4652231721
217	0.4648806443
218	0.4643035704
219	0.4636380059
220	0.4632222272
221	0.4631799849
222	0.463051516
223	0.4627611122
224	0.4624190018
225	0.4622231841
226	0.4621895448
227	0.4618608892
228	0.4617284962
229	0.4616975787
230	0.461370196
231	0.4609452564
232	0.4605760758
233	0.4603826389
234	0.4596136551
