iter	Passed	Remaining
0	2	2626
1	5	2899
2	9	3047
3	10	2711
4	12	2441
5	13	2246
6	15	2171
7	16	2084
8	18	2028
9	19	1943
10	21	1955
11	23	1909
12	24	1846
13	25	1770
14	25	1698
15	26	1643
16	27	1586
17	28	1534
18	29	1503
19	29	1467
20	30	1436
21	31	1411
22	33	1412
23	34	1413
24	35	1398
25	37	1389
26	38	1374
27	38	1351
28	39	1327
29	40	1306
30	41	1292
31	42	1273
32	42	1255
33	43	1239
34	44	1237
35	46	1240
36	47	1236
37	48	1230
38	49	1217
39	50	1209
40	51	1199
41	52	1198
42	54	1204
43	54	1193
44	55	1181
45	56	1168
46	57	1157
47	57	1147
48	58	1140
49	59	1137
50	60	1130
51	61	1123
52	63	1127
53	64	1133
54	65	1131
55	66	1128
56	68	1126
57	68	1119
58	69	1112
59	70	1104
60	71	1098
61	72	1093
62	73	1087
63	74	1087
64	75	1088
65	76	1086
66	77	1080
67	78	1074
68	79	1069
69	79	1062
70	80	1057
71	81	1052
72	82	1050
73	83	1046
74	84	1042
75	85	1038
76	86	1032
77	87	1030
78	87	1024
79	88	1019
80	89	1015
81	90	1015
82	91	1015
83	93	1020
84	95	1024
85	97	1032
86	98	1034
87	99	1029
88	100	1028
89	101	1030
90	103	1034
91	106	1050
92	108	1056
93	109	1058
94	111	1058
95	112	1062
96	114	1069
97	116	1074
98	118	1075
99	119	1074
100	120	1076
101	122	1076
102	125	1096
103	129	1111
104	130	1113
105	132	1121
106	134	1120
107	135	1117
108	136	1119
109	138	1122
110	140	1122
111	141	1120
112	142	1116
113	143	1115
114	144	1111
115	145	1106
116	145	1101
117	146	1097
118	147	1093
119	149	1093
120	150	1090
121	151	1088
122	153	1093
123	155	1095
124	156	1094
125	158	1100
126	159	1097
127	160	1092
128	161	1090
129	162	1086
130	163	1082
131	164	1081
132	165	1081
133	167	1082
134	169	1085
135	171	1089
136	172	1088
137	174	1089
138	175	1087
139	176	1082
140	177	1080
141	178	1076
142	179	1072
143	180	1072
144	181	1069
145	182	1066
146	184	1073
147	188	1084
148	190	1088
149	191	1087
150	192	1083
151	193	1079
152	194	1076
153	195	1074
154	197	1074
155	198	1072
156	199	1071
157	200	1069
158	202	1069
159	203	1069
160	204	1067
161	205	1064
162	206	1061
163	207	1058
164	208	1056
165	209	1053
166	210	1050
167	211	1049
168	212	1046
169	214	1049
170	216	1050
171	218	1053
172	220	1052
173	221	1052
174	222	1049
175	223	1046
176	224	1042
177	224	1038
178	226	1036
179	227	1036
180	228	1034
181	230	1036
182	231	1035
183	233	1034
184	234	1033
185	235	1031
186	236	1030
187	237	1027
188	238	1024
189	239	1021
190	241	1021
191	242	1020
192	243	1017
193	244	1016
194	246	1018
195	248	1021
196	250	1022
197	252	1021
198	253	1020
199	254	1019
200	256	1018
201	257	1016
202	259	1017
203	261	1021
204	262	1019
205	264	1018
206	265	1016
207	266	1014
208	267	1012
209	268	1009
210	269	1007
211	270	1005
212	271	1004
213	273	1004
214	275	1004
215	276	1003
216	278	1003
217	279	1001
218	280	998
219	281	997
220	282	996
221	283	993
222	284	991
223	285	988
224	286	985
225	287	983
226	288	980
227	289	980
228	291	982
229	293	981
230	294	981
231	295	979
232	296	976
233	297	974
234	298	972
235	299	969
236	300	967
237	301	964
238	302	961
239	302	958
240	303	956
241	304	953
242	305	951
243	306	949
244	307	948
245	309	948
246	311	949
247	312	946
248	313	944
249	314	942
250	314	939
251	315	936
252	316	933
253	316	930
254	318	930
255	320	930
256	320	927
257	322	926
258	323	925
259	324	923
260	326	924
261	327	922
262	328	920
263	329	918
264	330	916
265	331	913
266	332	911
267	332	909
268	333	906
269	334	905
270	335	903
271	336	900
272	337	898
273	338	896
274	339	896
275	340	893
276	341	891
277	342	888
278	343	886
279	344	884
280	344	882
281	345	880
282	346	878
283	348	877
284	349	875
285	350	874
286	351	872
287	352	871
288	353	870
289	355	869
290	356	868
291	357	866
292	358	864
293	359	862
294	360	860
295	360	858
296	361	856
297	362	854
298	363	851
299	364	849
300	365	847
301	366	846
302	366	844
303	367	842
304	369	841
305	370	841
306	372	839
307	374	840
308	376	841
309	377	839
310	377	837
311	378	835
312	379	833
313	380	832
314	382	830
315	383	830
316	384	829
317	386	828
318	387	826
319	388	825
320	389	823
321	389	820
322	390	818
323	391	816
324	392	814
325	393	812
326	393	810
327	394	808
328	395	806
329	396	804
330	397	803
331	398	801
332	399	800
333	401	801
334	402	799
335	404	799
336	405	797
337	406	795
338	407	793
339	408	792
340	409	790
341	409	788
342	411	787
343	413	788
344	414	787
345	415	785
346	416	784
347	419	785
348	420	783
349	421	781
350	421	780
351	422	778
352	423	776
353	424	774
354	425	772
355	426	770
356	427	769
357	428	768
358	429	766
359	430	764
360	431	764
361	433	764
362	435	763
363	436	763
364	438	762
365	438	760
366	439	758
367	440	756
368	441	754
369	442	752
370	443	751
371	444	749
372	446	750
373	447	749
374	449	748
375	450	748
376	451	746
377	452	744
378	453	742
379	454	741
380	455	739
381	455	737
382	456	735
383	457	734
384	459	733
385	459	731
386	461	730
387	462	728
388	464	729
389	466	728
390	467	728
391	468	727
392	469	725
393	470	723
394	471	721
395	472	720
396	473	718
397	474	717
398	475	715
399	476	714
400	478	714
401	479	713
402	481	712
403	481	710
404	482	709
405	483	707
406	484	705
407	484	703
408	486	702
409	487	700
410	487	699
411	489	698
412	491	698
413	494	700
414	496	699
415	497	698
416	498	697
417	500	696
418	501	695
419	502	693
420	503	691
421	504	690
422	505	689
423	507	689
424	508	688
425	509	686
426	510	685
427	511	684
428	512	682
429	513	680
430	514	679
431	515	677
432	516	676
433	517	674
434	518	672
435	518	671
436	520	670
437	521	668
438	522	667
439	523	666
440	525	665
441	526	664
442	527	662
443	528	661
444	529	659
445	529	658
446	530	656
447	531	654
448	532	653
449	533	651
450	534	650
451	535	649
452	537	648
453	538	647
454	539	646
455	540	644
456	541	643
457	542	642
458	543	640
459	544	638
460	545	637
461	545	635
462	546	634
463	547	632
464	548	631
465	549	629
466	550	628
467	551	626
468	551	624
469	552	623
470	554	622
471	555	621
472	557	620
473	558	619
474	559	618
475	560	616
476	560	614
477	561	613
478	562	611
479	563	610
480	564	609
481	565	607
482	566	606
483	568	605
484	569	604
485	570	603
486	571	602
487	572	600
488	573	599
489	574	597
490	574	595
491	575	594
492	576	593
493	577	591
494	578	590
495	579	588
496	580	587
497	581	585
498	582	584
499	582	582
500	584	581
501	585	580
502	588	581
503	589	579
504	590	578
505	591	577
506	592	575
507	593	574
508	594	573
509	595	572
510	596	570
511	597	569
512	599	568
513	600	567
514	601	566
515	602	565
516	603	563
517	604	562
518	605	561
519	606	559
520	607	558
521	608	556
522	608	555
523	609	553
524	610	552
525	611	551
526	612	550
527	614	548
528	615	547
529	617	547
530	617	545
531	618	544
532	619	542
533	620	541
534	621	540
535	623	539
536	624	538
537	625	536
538	626	535
539	627	534
540	628	533
541	629	532
542	631	531
543	632	529
544	633	528
545	634	527
546	635	526
547	636	525
548	637	523
549	638	522
550	639	520
551	639	519
552	640	517
553	642	517
554	643	515
555	644	514
556	645	513
557	647	512
558	649	512
559	650	510
560	650	509
561	652	508
562	653	507
563	653	505
564	654	504
565	655	502
566	656	501
567	657	500
568	658	498
569	659	497
570	660	496
571	662	495
572	663	494
573	664	492
574	665	491
575	665	490
576	666	488
577	667	487
578	668	486
579	669	484
580	670	483
581	671	482
582	672	480
583	672	479
584	673	477
585	674	476
586	675	475
587	676	473
588	677	473
589	679	472
590	681	471
591	682	470
592	683	469
593	684	467
594	685	466
595	686	465
596	687	464
597	689	463
598	690	462
599	692	461
600	694	460
601	695	459
602	696	458
603	697	457
604	698	456
605	699	454
606	700	453
607	701	452
608	702	451
609	703	449
610	704	448
611	705	447
612	706	445
613	707	444
614	709	444
615	711	443
616	712	442
617	713	441
618	714	439
619	715	438
620	716	437
621	717	435
622	718	434
623	719	433
624	720	432
625	723	432
626	724	431
627	726	430
628	727	429
629	728	428
630	729	426
631	730	425
632	731	424
633	732	422
634	733	421
635	733	419
636	734	418
637	735	417
638	736	415
639	737	414
640	738	413
641	739	412
642	741	411
643	742	410
644	743	409
645	744	407
646	745	406
647	746	405
648	746	403
649	747	402
650	748	401
651	749	400
652	751	399
653	752	397
654	754	397
655	755	396
656	757	395
657	757	393
658	758	392
659	759	391
660	760	390
661	761	388
662	762	387
663	763	386
664	764	384
665	765	383
666	766	382
667	766	381
668	767	379
669	768	378
670	773	379
671	774	377
672	775	376
673	776	375
674	777	374
675	778	372
676	778	371
677	780	370
678	780	369
679	782	368
680	783	366
681	784	365
682	784	364
683	785	363
684	787	361
685	788	360
686	788	359
687	789	358
688	790	356
689	791	355
690	792	354
691	793	353
692	794	351
693	795	350
694	796	349
695	797	348
696	798	346
697	799	345
698	800	344
699	801	343
700	802	342
701	803	341
702	804	339
703	805	338
704	806	337
705	806	336
706	807	334
707	808	333
708	809	332
709	810	331
710	811	330
711	813	328
712	814	327
713	815	326
714	816	325
715	817	324
716	818	323
717	819	321
718	820	320
719	821	319
720	822	318
721	822	316
722	823	315
723	824	314
724	825	312
725	825	311
726	826	310
727	827	309
728	828	308
729	829	306
730	830	305
731	832	304
732	833	303
733	834	302
734	835	301
735	836	299
736	837	298
737	837	297
738	838	296
739	839	294
740	840	293
741	841	292
742	842	291
743	843	290
744	844	289
745	845	287
746	846	286
747	847	285
748	848	284
749	849	283
750	850	281
751	851	280
752	852	279
753	852	278
754	853	277
755	854	275
756	855	274
757	855	273
758	857	272
759	858	271
760	859	269
761	860	268
762	862	267
763	863	266
764	865	265
765	866	264
766	867	263
767	868	262
768	869	261
769	870	260
770	871	258
771	872	257
772	873	256
773	874	255
774	875	254
775	876	253
776	877	251
777	879	250
778	880	249
779	880	248
780	881	247
781	882	245
782	883	244
783	884	243
784	884	242
785	885	241
786	886	239
787	887	238
788	888	237
789	889	236
790	891	235
791	893	234
792	895	233
793	896	232
794	898	231
795	898	230
796	899	229
797	900	227
798	901	226
799	902	225
800	903	224
801	904	223
802	904	221
803	905	220
804	906	219
805	907	218
806	908	217
807	910	216
808	910	215
809	911	213
810	912	212
811	913	211
812	914	210
813	915	209
814	916	207
815	916	206
816	917	205
817	918	204
818	919	203
819	920	202
820	922	201
821	925	200
822	927	199
823	928	198
824	929	197
825	930	196
826	931	194
827	932	193
828	933	192
829	935	191
830	936	190
831	937	189
832	938	188
833	939	187
834	940	185
835	941	184
836	942	183
837	943	182
838	944	181
839	944	179
840	945	178
841	946	177
842	947	176
843	947	175
844	948	174
845	949	172
846	950	171
847	951	170
848	952	169
849	954	168
850	956	167
851	957	166
852	958	165
853	959	164
854	960	162
855	961	161
856	962	160
857	962	159
858	963	158
859	964	157
860	966	155
861	967	154
862	968	153
863	969	152
864	970	151
865	971	150
866	972	149
867	973	148
868	974	146
869	975	145
870	976	144
871	976	143
872	977	142
873	978	141
874	979	139
875	980	138
876	981	137
877	982	136
878	983	135
879	985	134
880	985	133
881	987	132
882	987	130
883	988	129
884	989	128
885	990	127
886	991	126
887	992	125
888	993	124
889	994	122
890	994	121
891	995	120
892	996	119
893	997	118
894	998	117
895	999	116
896	1000	114
897	1001	113
898	1002	112
899	1003	111
900	1004	110
901	1005	109
902	1005	108
903	1006	106
904	1007	105
905	1008	104
906	1008	103
907	1009	102
908	1010	101
909	1011	100
910	1012	98
911	1013	97
912	1014	96
913	1015	95
914	1017	94
915	1018	93
916	1020	92
917	1020	91
918	1021	90
919	1022	88
920	1023	87
